robot_name,robot_state,robot_destination,intersection_start_time,intersection_finish_time,intersection_id,energy_consumption_intersection,queueing_robot
robot-13,returning_pod,"(32,14)",2286.450000000656,2290.8000000006587,15-12,0.005086249999999999,1
robot-15,delivering_pod,"(4,9)",2317.650000000675,2321.7000000006774,15-15,0.0057375,1
robot-5,returning_pod,"(32,13)",2329.200000000682,2333.2500000006844,15-12,0.0057375,1
robot-13,delivering_pod,"(4,9)",2362.8000000007023,2366.8500000007048,15-15,0.00580125,1
robot-5,delivering_pod,"(4,15)",2369.4000000007063,2373.3000000007087,15-15,0.005578125,1
robot-15,returning_pod,"(17,13)",2406.1500000007286,2410.200000000731,15-12,0.00558375,1
robot-5,returning_pod,"(29,14)",2414.850000000734,2418.9000000007363,15-12,0.00580125,1
robot-15,taking_pod,"(13,2)",2420.4000000007372,2424.4500000007397,15-12,0.001666875,0
robot-14,delivering_pod,"(4,21)",2442.0000000007503,2446.050000000753,15-15,0.00580125,1
robot-16,delivering_pod,"(4,21)",2456.8500000007593,2460.900000000762,15-15,0.00580125,1
robot-17,returning_pod,"(12,10)",2486.100000000777,2492.850000000781,15-12,0.005049374999999999,1
robot-20,delivering_pod,"(4,21)",2501.5500000007864,2505.600000000789,15-15,0.00580125,1
robot-17,taking_pod,"(16,13)",2512.650000000793,2516.8500000007957,15-12,0.00143625,0
robot-17,delivering_pod,"(4,15)",2525.250000000801,2529.3000000008033,15-12,0.001666875,0
robot-3,returning_pod,"(11,10)",2530.500000000804,2537.250000000808,15-12,0.005049374999999999,1
robot-12,taking_pod,"(24,8)",2540.25000000081,2542.200000000811,15-15,0.0026774999999999993,1
